,Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
375,2021,Subaru,36590.0,2835,black,good,other,automatic,hatchback
376,2019,Volkswagen,28990.0,15961,blue,good,gas,automatic,wagon
377,2018,Ram,27990.0,33656,white,good,other,other,pickup
378,2020,Volkswagen,29590.0,8704,black,good,gas,automatic,sedan
379,2016,Nissan,24590.0,11068,silver,good,other,other,pickup
380,2008,nissan,8500.0,200254,white,good,gas,automatic,pickup
381,2017,Honda,31990.0,43092,white,good,other,other,pickup
382,2008,acura,1500.0,240000,black,fair,gas,automatic,sedan
383,2016,Ram,28990.0,54204,black,good,other,other,pickup
384,1986,jeep,8250.0,150837,red,good,gas,automatic,wagon
385,2018,Toyota,32590.0,14730,green,good,gas,automatic,sedan
386,2018,Ford,21990.0,21635,white,good,gas,automatic,hatchback
387,2012,INFINITI,21590.0,43378,black,good,other,automatic,sedan
388,2018,Acura,28590.0,25915,red,good,other,automatic,sedan
389,2015,Honda,25590.0,26375,white,good,other,other,coupe
390,2014,Nissan,17990.0,62082,white,good,gas,automatic,hatchback
391,2014,Dodge,26990.0,34793,white,good,gas,other,sedan
392,2015,Chevrolet,38990.0,28527,silver,good,other,other,pickup
393,2014,Toyota,17990.0,39788,silver,good,gas,other,sedan
394,2014,Volkswagen,17590.0,68365,black,good,gas,other,wagon
395,2018,Lexus,33990.0,28240,black,good,other,automatic,hatchback
396,2021,SPECIAL,500.0,1000,green,fair,other,other,bus
397,2015,Mitsubishi,17990.0,42399,black,good,other,automatic,hatchback
398,2018,Kia,19590.0,18038,silver,good,other,other,sedan
399,2017,Volkswagen,26990.0,22260,black,good,gas,automatic,hatchback
400,2020,Mitsubishi,18990.0,10881,white,good,gas,automatic,hatchback
401,2021,Chevrolet,33990.0,3728,red,good,other,other,pickup
402,2017,Toyota,29990.0,16347,blue,good,other,automatic,hatchback
403,2021,Honda,26990.0,35378,silver,good,other,other,sedan
404,2018,Audi,39590.0,24868,black,good,gas,automatic,sedan
405,2019,Lexus,37590.0,16615,red,good,gas,other,hatchback
406,2018,Honda,30990.0,24253,black,good,gas,automatic,sedan
407,2020,Kia,20590.0,11239,black,good,gas,other,sedan
408,2008,nissan,6950.0,228000,brown,good,gas,automatic,truck
409,2008,dodge,9000.0,209385,silver,good,gas,automatic,truck
410,2008,ford,6450.0,176501,silver,good,gas,automatic,sedan
411,2011,Toyota,18590.0,9812,silver,good,other,other,sedan
412,2017,GMC,28990.0,24093,white,good,gas,automatic,pickup
413,2019,Honda,39990.0,19492,white,good,gas,other,pickup
414,2015,Ford,34990.0,48930,silver,good,other,other,pickup
415,2012,Acura,17590.0,78931,silver,good,gas,automatic,sedan
416,2006,HONDA,800.0,314000,red,good,gas,automatic,sedan
417,2003,ford,3500.0,151000,black,fair,gas,automatic,truck
418,2012,Mack,74999.0,365309,yellow,good,diesel,manual,truck
419,2014,2014,11500.0,112000,grey,good,gas,automatic,sedan
420,1989,ford,10500.0,108761,grey,good,gas,automatic,truck
421,1999,isuzu,4800.0,177000,white,good,gas,manual,convertible
422,2008,ford,6000.0,168000,blue,good,gas,automatic,pickup
423,2013,Peterbilt,31500.0,774000,white,good,diesel,automatic,truck
424,2013,ford,11500.0,193000,black,good,gas,automatic,pickup
425,2008,Chevrolet,4750.0,166049,black,good,gas,automatic,sedan
